page,url,tier,final_score
wwwsoprasterianlnewsroomblogdetailsecosystems-yes-please-but-how-can-we-trust-each-other,https://www.soprasteria.nl/newsroom/blog/details/ecosystems-yes-please-but-how-can-we-trust-each-other,Thought Leadership Blog / Insights Page,6.8
wwwlinkedincomcompanysoprasteria-benelux,https://www.linkedin.com/company/soprasteria-benelux/,LinkedIn Company Profile Page (Unavailable/Error Page),0.0
wwwsoprasteriacom,https://www.soprasteria.com/,Corporate Homepage / Brand Introduction,6.4
wwwsoprasteriabewhatwedomanagement-digital-transformation-consultingservices-operations-automation,https://www.soprasteria.be/whatwedo/management-digital-transformation-consulting/services-operations-automation,Services Overview / Consulting Practice Page,5.8
wwwsoprasterianlnewsroompress-releasesdetailswelcome-to-the-future-of-innovation,https://www.soprasteria.nl/newsroom/press-releases/details/welcome-to-the-future-of-innovation,Press Release / Corporate Newsroom Page,5.6
wwwnldigitalnlledensopra-steria-nederland-b-v,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,Member Profile / Corporate Overview Page,5.5
wwwsoprasterianlnewsroomblog,https://www.soprasteria.nl/newsroom/blog,Thought Leadership Blog / Insights Hub,7.0
wwwsoprasteriacomabout-ushistory,https://www.soprasteria.com/about-us/history,Corporate About Us / Brand History Page,5.8
wwwsoprasteriabe,https://www.soprasteria.be/,Corporate Homepage / Corporate Services Overview,7.2
wwwsoprasteriabewhatwedodata-aidata-science-and-aithe-future-of-generative-ai,https://www.soprasteria.be/whatwedo/data-ai/data-science-and-ai/the-future-of-generative-ai,Thought Leadership / Insights Page,6.8
wwwsoprasteriabeindustriesindustry-retail-logistics-telecom-media,https://www.soprasteria.be/industries/industry-retail-logistics-telecom-media,Industry Solutions Landing Page (Sector-specific overview page targeting multiple industries),6.4
wwwyoutubecomSopraSteria_Benelux,https://www.youtube.com/@SopraSteria_Benelux,YouTube Brand Channel Landing Page (Cookie Consent Gate),2.6
wwwsoprasterianlnewsroompress-releasesdetailssopra-steria-next-predicts,https://www.soprasteria.nl/newsroom/press-releases/details/sopra-steria-next-predicts,Press Release / Thought Leadership Insight,6.6
wwwsoprasterianl,https://www.soprasteria.nl/,Corporate Homepage / Corporate Brand & Services Overview,7.4
wwwsoprasterianlnewsroomblogdetailsinteracting-with-large-language-models,https://www.soprasteria.nl/newsroom/blog/details/interacting-with-large-language-models,Thought Leadership Blog Article,5.8
wwwsoprasteriabewhatwedodigital-themesdeliver-flexible-always-on-performancecloud-infrastructure-platformssopra-steria-transformation-services-for-microsoft-azure,https://www.soprasteria.be/whatwedo/digital-themes/deliver-flexible-always-on-performance/cloud-infrastructure-platforms/sopra-steria-transformation-services-for-microsoft-azure,Service Offering / Solution Detail Page,7.2
wwwsoprasteriabeindustriesfinancial-services,https://www.soprasteria.be/industries/financial-services,Industry Solutions Landing Page (Financial Services Sector),7.4
wwwsoprasteriacomabout-uscorporate-responsibility,https://www.soprasteria.com/about-us/corporate-responsibility,Corporate Responsibility / ESG Branding Page,5.8
