Category,Region,Tag,URL,Notes for Audit
Main Website (Global),Global,website,https://www.soprasteria.com/,"Global messaging, branding, and investor relations. Compare global vs. local messaging."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/,"BENELUX Main Portal. Audit main navigation (""About Us"", ""What we do"", ""Industries"", ""Careers"") for BENELUX-specific messaging. Note language options (EN/NL/FR)."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/news,Official news and press releases for the BENELUX region.
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/blog,"Thought leadership, industry insights, and company culture articles from a BENELUX perspective."
Main Website (BENELUX),BE,website,https://www.soprasteria.be/newsroom/success-stories,Case studies and client testimonials from the BENELUX market.
Main Website (BENELUX),BE,website,https://www.soprasteria.be/contact-us,"Office locations and contact details for Belgium, Netherlands, and Luxembourg."
Main Website (Luxembourg),LU,website,https://www.soprasteria.lu/,Specific site for Sopra Steria PSF Luxembourg (Pôle de Support au Secteur Financier). Financial services focus.
Careers Website,BE,careers,https://careers.soprasteria.be/,Employer branding and job opportunities specific to Belgium.
Careers Website,NL,careers,https://careers.soprasteria.nl/,Employer branding and job opportunities specific to the Netherlands.
Careers Website,LU,careers,https://careers.soprasteria.com/lu/,Employer branding and job opportunities specific to Luxembourg.
Social Media Profile,BENELUX,social,https://www.linkedin.com/company/soprasteria-benelux/,"Primary Professional Social Channel. Content strategy, engagement, employee advocacy, and messaging related to the Ordina merger."
Social Media Profile,BENELUX,social,https://www.youtube.com/@SopraSteria_Benelux,"Official BENELUX YouTube Channel. Video content, event recaps, client stories, and employer branding videos."
Social Media Profile,Global,social,https://www.youtube.com/@SopraSteriaGroup,Global YouTube channel. Audit for any BENELUX-specific content or campaigns.
Social Media Profile,BE,social,https://twitter.com/SopraSteria_Be,"Twitter/X presence for Belgium. Audit for activity level, engagement, and content relevance."
Social Media Profile,BENELUX,social,https://www.facebook.com/SopraSteriaBenelux,"Facebook presence for BENELUX. Assess audience, content strategy (e.g., events, culture), and engagement."
Video Example,BENELUX,video,https://www.youtube.com/watch?v=kR2C3m4d5c0,(2024) Video discussing Sopra Steria's new identity in the BENELUX region post-Ordina merger.
Video Example,BE,video,https://www.youtube.com/watch?v=Fj-y5wTwu-w,"(2024) Client case study with Solidaris, showcasing services in the Belgian market."
Video Example,BENELUX,video,https://www.youtube.com/watch?v=Xh07bWvN4jY,"(2023) Event video for ""Ordina's Innovation Day,"" relevant to the transition period."
Video Example,BE,video,https://www.youtube.com/watch?v=e_9A_Nq1V2k,"(2023) Video on preserving Flemish cultural heritage with AI, a key local project."
Third-Party Review Site,Global,review,https://www.glassdoor.com/Reviews/Sopra-Steria-Reviews-E54964.htm,"Employee reviews. Crucial to filter by location (Belgium, Netherlands, Luxembourg) to gauge employer brand perception."
Third-Party Review Site,LU,review,https://www.greatplacetowork.lu/en/certification/sopra-steria-psf-luxembourg,"""Great Place to Work"" certification for the Luxembourg entity. Positive employer branding."
Third-Party Review Site,Global,review,https://choosemycompany.com/en/certified-reviews/77683.sopra-steria/employees,General trainee and employee reviews for the global brand.
External News (Merger),BE,news,https://www.computable.be/2024/02/23/vaarwel-ordina-welkom-sopra-steria/,(Feb 2024) Belgian IT publication covering the brand transition from Ordina to Sopra Steria.
External News (Merger),NL,news,https://www.computable.nl/2024/01/25/ordina-heet-nu-echt-sopra-steria/,(Jan 2024) Dutch IT publication announcing the official name change from Ordina.
External News (Merger),Global,news,https://www.businesswire.com/news/home/20230320005698/en/,The official press release announcing the agreement to acquire Ordina.
External News (Local),BE,news,https://datanews.knack.be/ict/in-de-kijker/she-goes-ict-2023-de-genomineerden-zijn-bekend/article-longread-1951551.html,"(2023) Nomination of a Sopra Steria employee for the ""She Goes ICT"" award by Data News, a key Belgian IT magazine."
External News (Local),BE,news,https://www.solution-santo.com/en/references/sopra-steria-chooses-the-right-formula-for-their-new-hq-in-brussels,"Article about Sopra Steria's new HQ in Brussels, relevant for physical branding and local investment perception."
Industry Association,NL,directory,https://www.nldigital.nl/leden/sopra-steria-nederland-b-v/,"Membership listing in NLdigital, the Dutch digital industry trade association."
Industry Association,NL,directory,https://www.nldigital.nl/nieuws/toezicht-door-de-mens-blijft-altijd-nodig/,Article featuring the CEO of Sopra Steria Netherlands as a board member of NLdigital.
Industry Association,NL,directory,https://www.nidv.eu/en/industry-guide/sopra-steria/,Listing in the Netherlands Industries for Defence & Security (NIDV) directory.
Industry Association,LU,directory,https://fedil.lu/fr/members/75145bb5-ece6-e611-80f5-c4346bac8ce8/,"Membership listing in FEDIL, the main business federation in Luxembourg."
Industry Association,LU,directory,https://www.financeandtechnology.lu/members-page/,Listing for Sopra Steria PSF Luxembourg S.A. in the Finance & Technology Luxembourg association.
Industry Association,Global,directory,https://www.drupal.org/sopra-steria,"Drupal.org profile listing Agoria (Belgian tech federation) as a client, showing a strong industry relationship."
